;Arr;Dep;Label;Shunting
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";;;;
"""KO"", ""ST"", 8, ""(4)""";16:38;16:40;Katowice;
"""KO"", ""ST"", 118, ""(N/A)""";;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 4, ""1"", ""(1)""";;;;
"""KZ"", ""ST"", 4, ""(2)""";16:44;16:44;Katowice Zawodzie;
to Oświęcim;;;;
####;;;;
KS - Os;;;;
94813;;;;
S5;;;;
departs from Katowice;;;;
"""KO"", ""ST-M"", 1113, ""(N/A)""";;;;Y
"""KO"", ""ST"", 1, ""(2)""";;16:47;Katowice;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";16:51;16:51;Katowice Brynów;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;
"""KL"", ""ST"", 1, ""(2)""";16:54;16:54;Katowice Ligota;
to Żywiec;;;;
####;;;;
KS - Os;;;;
44862;;;;
S71;;;;
from Chałupki;;;;
"""KL"", ""ST"", 2, ""(2)""";16:42;16:42;Katowice Ligota;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";16:45;16:45;Katowice Brynów;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 8, ""(4)""";16:48;;Katowice;
"""KO"", ""ST-M"", 1118, ""(N/A)""";;;;Y
terminates in Katowice;;;;
####;;;;
KS - Os;;;;
40628;;;;
S1;;;;
from Gliwice;;;;
"""CB"", ""ST"", 2, ""(1)""";16:36;16:36;Chorzów Batory;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";16:40;16:40;Katowice Załęże;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";;;;
"""KO"", ""ST"", 2, ""(3)""";16:44;16:51;Katowice;
"""KO"", ""ST"", 114, ""(N/A)""";;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";;;;
"""KZ"", ""ST"", 2, ""(1)""";16:54;16:54;Katowice Zawodzie;
to Częstochowa;;;;
####;;;;
KS - OsP;;;;
40675;;;;
S1;;;;
from Czestochowa;;;;
"""KZ"", ""ST"", 1, ""(1)""";16:44;16:44;Katowice Zawodzie;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;
"""KO"", ""ST"", 9, ""(1)""";16:48;16:55;Katowice;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";16:58;16:58;Katowice Załęże;
