;Arr;Dep;Approx_enter;Label;Shunting;
"""CB-RCB-2"", ""SBL+PO(Œwiêtoch³owice)"", 1, ""2"", ""(3)""";16:39;16:39;;Œwiêtoch³owice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";;;;;;
"""RCB"", ""ST"", 1, ""(1)""";16:43;16:43;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda)"", 1, ""2"", ""(4)""";16:45;16:45;;Ruda Œl¹ska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";16:50;16:50;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";;;;;;
"""GLC"", ""ST"", 6, ""(2)""";16:57;;;Gliwice;;
to Gliwice;;;;;;
####;;;;;;
IC - TLK;;;;;;
54101;;;;;;
DOKER;;;;;;
from Gdynia GÅ‚Ã³wna via Koluszki;;;16:24;;;
"""KZ"", ""ST"", 1, ""(1)""";;;;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;;;
"""KO"", ""ST"", 9, ""(1)""";16:28;;;Katowice;;
"""KO"", ""ST"", 113, ""(N/A)""";;;;;Y;
"""KO(IC)"", ""B-M"", 500, ""(N/A)""";;;;;Y;zmiana czo³a
terminates in Katowice;;;;;;
####;;;;;;
KS - Os;;;;;;
40477;;;;;;
S4;;;;;;
departs from Katowice;;;;;;
"""KO"", ""ST-M"", 1113, ""(N/A)""";;;;;Y;
"""KO"", ""ST"", 7, ""(1)""";;16:29;;Katowice;;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;;;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";16:33;16:33;;Katowice BrynÃ³w;;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;;;
"""KL"", ""ST"", 1, ""(2)""";16:35;16:36;;Katowice Ligota;;
"""KL-Mc-1"", ""SBL+PO(Piotrowice)"", 1, ""1"", ""(6)""";16:39;16:39;;Katowice Piotrowice;;
"""KL-Mc-2"", ""SBL"", 1, ""2"", ""(6)""";;;;;;
"""KL-Mc-3"", ""SBL"", 1, ""3"", ""(6)""";;;;;;
"""KL-Mc-4"", ""SBL+PO(Podlesie)"", 1, ""4"", ""(6)""";16:42;16:42;;Katowice Podlesie;;
"""KL-Mc-5"", ""SBL"", 1, ""5"", ""(6)""";;;;;;
"""KL-Mc-6"", ""SBL+Sem(PODG)"", 1, ""6"", ""(6)""";;;;;;
"""Mc"", ""PODG"", 1, ""(N/A)""";;;;;;
"""Mc-Ty"", ""Sem(odstep)+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""Ty"", ""ST"", 101, ""(N/A)""";;;;;;
"""Ty"", ""ST"", 1, ""(2)""";16:47;16:55;;Tychy;;
"""Ty-TMo "", ""SBL"", 1, ""1"", ""(2)""";;;;;;
to Tychy Lodowisko;;;;;;
####;;;;;;
IC - EIP;;;;;;
4500;;;;;;
Pendolino;;;;;;
from Gliwice;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";;16:07;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";;;;;;
